"Taxa";"Protein";"Predicted_water_absorption";"Milling_yield";"Mixing energy";"Rmax";"Extensibility"
"102";"G62";13.9704822199347;NA;NA;NA;NA;NA
"103";"G70";14.1454822199347;NA;NA;NA;NA;NA
"104";"G83";13.1204822199347;NA;NA;NA;NA;NA
"105";"G53";14.2204822199347;NA;NA;NA;NA;NA
"106";"G56";12.9454822199347;NA;NA;NA;NA;NA
"107";"G60";13.5954822199347;NA;NA;NA;NA;NA
"108";"G63";13.8454822199347;NA;NA;NA;NA;NA
"109";"G76";13.7701822445051;NA;NA;NA;NA;NA
"110";"G84";14.4451822445051;NA;NA;NA;NA;NA
"111";"G30";14.2306260735133;NA;NA;NA;NA;NA
"112";"G2";16.1431530880966;NA;NA;NA;NA;NA
"113";"G3";16.0681530880966;NA;NA;NA;NA;NA
"114";"G4";15.4181530880967;NA;NA;NA;NA;NA
"115";"G5";14.7431530880966;NA;NA;NA;NA;NA
"116";"G6";16.1431530880966;NA;NA;NA;NA;NA
"117";"G8";16.0681530880966;NA;NA;NA;NA;NA
"118";"G35";13.6806260735133;NA;NA;NA;NA;NA
"119";"G45";14.4306260735133;NA;NA;NA;NA;NA
"120";"G13";14.5806260735133;NA;NA;NA;NA;NA
"121";"G18";13.2806260735133;NA;NA;NA;NA;NA
"122";"G25";13.7806260735133;NA;NA;NA;NA;NA
"123";"G31";13.6056260735133;NA;NA;NA;NA;NA
"124";"G36";13.4056260735133;NA;NA;NA;NA;NA
"125";"G46";15.2556260735133;NA;NA;NA;NA;NA
"126";"G19";15.1806260735133;NA;NA;NA;NA;NA
"127";"G37";14.5056260735133;NA;NA;NA;NA;NA
"128";"G40";14.1806260735133;NA;NA;NA;NA;NA
"129";"G20";13.9306260735133;NA;NA;NA;NA;NA
"130";"G26";13.1806260735133;NA;NA;NA;NA;NA
"131";"G38";13.8306260735133;NA;NA;NA;NA;NA
"132";"G21";14.1056260735133;NA;NA;NA;NA;NA
"133";"G27";14.2056260735133;NA;NA;NA;NA;NA
"134";"G47";14.0556260735133;NA;NA;NA;NA;NA
"135";"G14";13.6056260735133;NA;NA;NA;NA;NA
"136";"G22";13.4556260735133;NA;NA;NA;NA;NA
"137";"G28";13.7806260735133;NA;NA;NA;NA;NA
"138";"G32";14.2806260735133;NA;NA;NA;NA;NA
"139";"G41";13.5806260735133;NA;NA;NA;NA;NA
"140";"G15";14.0056260735133;NA;NA;NA;NA;NA
"141";"G33";13.9306260735133;NA;NA;NA;NA;NA
"142";"G42";13.7306260735133;NA;NA;NA;NA;NA
"143";"G43";12.9056260735133;NA;NA;NA;NA;NA
"144";"G11";12.8056260735133;NA;NA;NA;NA;NA
"145";"G48";13.9306260735133;NA;NA;NA;NA;NA
"146";"G16";14.7556260735133;NA;NA;NA;NA;NA
"147";"G23";14.7056260735133;NA;NA;NA;NA;NA
"148";"G29";14.4056260735133;NA;NA;NA;NA;NA
"149";"G34";14.6056260735133;NA;NA;NA;NA;NA
"150";"G39";14.9056260735133;NA;NA;NA;NA;NA
"151";"G44";14.4306260735133;NA;NA;NA;NA;NA
"152";"G49";14.5056260735133;NA;NA;NA;NA;NA
"153";"G51";15.0201822445051;NA;NA;NA;NA;NA
"154";"G9";14.7431530880966;NA;NA;NA;NA;NA
"155";"G12";15.0181530880966;NA;NA;NA;NA;NA
"156";"G17";14.4431530880966;NA;NA;NA;NA;NA
"157";"G54";13.3556260735133;NA;NA;NA;NA;NA
"158";"G66";13.4337305578867;NA;NA;NA;NA;NA
"159";"G67";14.2337305578867;NA;NA;NA;NA;NA
"160";"G74";13.5837305578867;NA;NA;NA;NA;NA
"161";"G1277";15.2226450753985;64.7658;78.4156496636022;NA;NA;18.75
"162";"G1289";15.1893117420652;60.4218;77.5125148481249;NA;NA;19.6
"163";"G1301";14.1893117420652;60.4218;79.0850714034385;NA;NA;15.2
"164";"G1312";16.1893117420652;66.2138;77.65;NA;NA;18.15
"165";"G1323";14.6226450753985;61.5802;77.4;NA;NA;19.3
"166";"G1335";14.7559784087319;63.0282;78.5;NA;NA;17.8
"167";"G1347";15.9226450753985;66.793;77.9;NA;NA;19.5
"168";"G1359";15.5226450753985;67.6618;78.6646586345382;NA;NA;18.35
"169";"G1278";14.0559784087319;58.3946;77.8616985565626;NA;NA;20.85
"170";"G1290";14.5226450753985;64.4762;78.2380158541149;NA;NA;18.5
